tea,tii,\s|^,\s|$
tool,tool,\s|^,\s|$
toul,tool,\s|^,\s|$
toon,tooñ,\s|^,\s|$
tou,too,\s|^,\s|$
tou,tooñ,\s|^,\s|$
toun,tooñ,\s|^,\s|$
tout,toot,\s|^,\s|$
toot,toot,\s|^,\s|$
trwaw,trwaa
ushtawn,ushtaan,\s|^,\s|$
vyawnd,vyaañd,\s|^,\s|$
vyayloon,vyalooñ,\s|^,\s|$
vyeloon,vyalooñ,\s|^,\s|$
yaenk,yaeñk,\s|^,\s|$
yootin,yootin,\s|^,\s|$
youtin,yootin,\s|^,\s|$
zheunn,zhoon,\s|^,\s|$
zhournee,zhoornii,\s|^,\s|$
zoot,zoot,\s|^,\s|$
zout,zoot,\s|^,\s|$
grawn,graañ,\s|^,\s|$
