poor,poor,\s|^,\s|$
poos,poos,\s|^,\s|$
pouni,pooni,\s|^,\s|$
pour,poor,\s|^,\s|$
pous,pous,\s|^,\s|$
ptsee,pchi,\s|^,\s|$
ptsi,pchi,\s|^,\s|$
roon,rooñ,\s|^,\s|$
roozh,ruuzh,\s|^,\s|$
saprawn,sapraañ,\s|^,\s|$
sawn,saañ,\s|^,\s|$
saen,saeñ,\s|^,\s|$
seur,soeur,\s|^,\s|$
shawm,shaam,\s|^,\s|$
shawpou,shaapoo,\s|^,\s|$
shouvreu,shovreu,\s|^,\s|$
shmaen,shmaeñ,\s|^,\s|$
shoo,shoo,s|^,\s|$
soo,sooñ,\s|^,\s|$
soon,sooñ,\s|^,\s|$
sou,soo,\s|^,\s|$
soup,soop,\s|^,\s|$
soun,sooñ,\s|^,\s|$
tab,taeb,\s|^,\s|$
tawpway,taapwee,\s|^,\s|$
tawn,taañ,\s|^,\s|$
tawnday,tawndee,\s|^,\s|$
tawnayhki,taaneehki,\s|^,\s|$
tawnimayikouhk,taanimayikohk,\s|^,\s|$
tawnshi,taanshi,\s|^,\s|$
tawr,taar,\s|^,\s|$
tea,tii,\s|^,\s|$
toor,toor,\s|^,\s|$
tool,tool,\s|^,\s|$
toul,tool,\s|^,\s|$
toon,tooñ,\s|^,\s|$
tou,too,\s|^,\s|$
tou,tooñ,\s|^,\s|$
toun,tooñ,\s|^,\s|$
tout,toot,\s|^,\s|$
toot,toot,\s|^,\s|$
taen,taeñ,\s|^,\s|$
ushtawn,ushtaan,\s|^,\s|$
vyawnd,vyaañd,\s|^,\s|$
vyayloon,vyalooñ,\s|^,\s|$
vyeloon,vyalooñ,\s|^,\s|$
yaenk,yaeñk,\s|^,\s|$
yootin,yootin,\s|^,\s|$
youtin,yootin,\s|^,\s|$
zheunn,zhoon,\s|^,\s|$
zhournee,zhoornii,\s|^,\s|$
zoot,zoot,\s|^,\s|$
zout,zoot,\s|^,\s|$
grawn,graañ,\s|^,\s|$
kiyanawn,kiyanaan,,\s|$
niyanawn,niyanaan,,\s|$
keemooch,kiimooch,,\s|$
a lawntour,alaañtoor,,\s|$
alawn tour,alaañtoor,,\s|$
alawntour,alaañtoor,,\s|$
alawntoor,alaañtoor,,\s|$
a lawntoor,alaañtoor,,\s|$
alawn toor,alaañtoor,,\s|$
tawnpet,taañpet,,\s|$
inawkoushiw,inaakooshiw,,\s|$
nawnduw,naandaw,,\s|$
kitshimout,kitishimout,,\s|$
sartaen,sartaeñ,\s|^,\s|$
tahkinaen,tahkinaeñ,\s|^,\s|$
nawn,nawn,\s|^,\s|$
kuwshtawnawn,ka-oshtaanaan,\s|^,\s|$
nouhtay,nohtee
noohtay,nohtee
wawp,waap
nouhtay-,nohtee-
noohtay-,nohtee-    
miyou-,miyo-
youhtay,yohtee
yoohtay,yohtee
miyou,miyo
koush,kosh
pooy,pooy
pouy,pooy
pooyoo,pooy
pouyou,pooy
ootin,ootin
yuw,yaw
oohchi,oschi
touhtawn,toohtaan
touht,tooht
meetshoun,miitshon
shidoo,shi-doo,\s|^
chidoo,chi-doo,\s|^
ounawniwun,onaaniwan,,\s|$
awwawn,aawaan,,\s|$
aynawn,eenaan,,\s|$
awyawn,aayaan,,\s|$
awnawn,aanaan,,\s|$
awniwun,aaniwan,,\s|$
inawn,inaan,,\s|$
ayin,ayin,,\s|$
awin,awin,,\s|$
aywin,eewin,,\s|$
imoun,imon,,\s|$
mout,mot,,\s|$
awtin,aatin,,\s|$
yinwa,yinwa,,\s|$
ikouhk,ikohk,,\s|$
ikoohk,ikohk,,\s|$
stawm,staam,,\s|$
