b,p
tth',tθ'
tth,tθʰ
th,θ
tl',tɬ'
tl,tɬʰ
ts',ts'
ts,tsʰ
t',t'
t,tʰ
ddh,tθ
dh,ð
dz,ts
dl,tɬ
d,t
sh,ʃ
zh,ʒ
ch',tʃ'
ch,tʃʰ
j,tʃ
ghw,ɣʷ
gh,ɣ
gw,kʷ
khw,xʷ
k'w,k'ʷ
kh,x
kw,kʰʷ
k',k'
k,kʰ
r,ɹ
',ʔ
ł,ɬ
mb,ᵐp
nd,ⁿt
nj,ⁿtʃ
\u0301,
\u0300,
\u0304,
\u030C,
\u0302,
e\u0328,ɛ\u0303
ü\u0328,ʉ\u0303
ä\u0328w,ə\u0303w
a\u0328y,a\u0303i
ä\u0328,ʌ\u0303
a\u0328,ɑ\u0303
e,ɛ
ü,ʉ
äw,əw
ay,ai
ä,ʌ
a,ɑ
y,j
g,ɡ
