b,p
tth',tθ'
tth,tθʰ
th,θ
tl',tɬ'
tl,tɬʰ
ts',ts'
ts,tsʰ
t',t'
t,tʰ
ddh,tθ
dh,ð
dz,ts
dl,tɬ
d,t
sh,ʃ
zh,ʒ
ch',tʃ'
ch,tʃʰ
j,tʃ
ghw,ɣʷ
gh,ɣ
gw,kʷ
khw,xʷ
k'w,k'ʷ
kh,x
kw,kʰʷ
k',k'
k,kʰ
g,k
r,ɹ
',ʔ
ł,ɬ
mb,ᵐp
nd,ⁿt
nj,ⁿtʃ
n,ŋ,i
n,ŋ,u:
\u0301,
\u0304,
\u030C,
a\u0328i,ʌ̃ɪ
a\u0328u,ʌ̃ʊ
a\u0328e,æ̃
ä\u0328,ʌ̃
a\u0328,ɑ̃
\u0328,\u0303
ai,ʌɪ
au,ʌʊ
ae,æ
ä,ʌ
a,ɑ
y,j
